image_path,xmin,ymin,xmax,ymax,label
high_resolution_photos/2010/Breton-Chandeleur Islands/Chandeleur North A/07May10Camera1-Card1-0483.jpg,2351.25,15.32,2367.25,31.32,UNTE bird
high_resolution_photos/2010/Breton-Chandeleur Islands/Chandeleur North A/07May10Camera1-Card1-0483.jpg,2361.25,19.32,2377.25,35.32,UNTE bird
high_resolution_photos/2010/Breton-Chandeleur Islands/Chandeleur North A/07May10Camera1-Card1-0483.jpg,2387.24,23.33,2403.24,39.33,UNTE bird
high_resolution_photos/2010/Breton-Chandeleur Islands/Chandeleur North A/07May10Camera1-Card1-0483.jpg,2345.91,53.98,2361.91,69.98,UNTE bird
high_resolution_photos/2010/Breton-Chandeleur Islands/Chandeleur North A/07May10Camera1-Card1-0483.jpg,2363.24,55.32,2379.24,71.32,UNTE bird
high_resolution_photos/2010/Breton-Chandeleur Islands/Chandeleur North A/07May10Camera1-Card1-0483.jpg,2367.24,91.31,2383.24,107.31,UNTE bird
high_resolution_photos/2010/Breton-Chandeleur Islands/Chandeleur North A/07May10Camera1-Card1-0483.jpg,643.5,35.16,659.5,51.16,UNTE bird
high_resolution_photos/2010/Breton-Chandeleur Islands/Chandeleur North A/07May10Camera1-Card1-0483.jpg,643.5,57.16,659.5,73.16,UNTE bird
high_resolution_photos/2010/Breton-Chandeleur Islands/Chandeleur North A/07May10Camera1-Card1-0483.jpg,701.89,64.42,717.89,80.42,UNTE bird
high_resolution_photos/2010/Breton-Chandeleur Islands/Chandeleur North A/07May10Camera1-Card1-0483.jpg,723.49,51.17,739.49,67.17,UNTE bird
high_resolution_photos/2010/Breton-Chandeleur Islands/Chandeleur North A/07May10Camera1-Card1-0483.jpg,739.48,79.17,755.48,95.17,UNTE bird
high_resolution_photos/2010/Breton-Chandeleur Islands/Chandeleur North A/07May10Camera1-Card1-0483.jpg,815.47,35.18,831.47,51.18,UNTE bird
high_resolution_photos/2010/Breton-Chandeleur Islands/Chandeleur North A/07May10Camera1-Card1-0483.jpg,811.47,39.18,827.47,55.18,UNTE bird
high_resolution_photos/2010/Breton-Chandeleur Islands/Chandeleur North A/07May10Camera1-Card1-0483.jpg,803.47,49.18,819.47,65.18,UNTE bird
high_resolution_photos/2010/Breton-Chandeleur Islands/Chandeleur North A/07May10Camera1-Card1-0483.jpg,883.46,47.18,899.46,63.18,UNTE bird
high_resolution_photos/2010/Breton-Chandeleur Islands/Chandeleur North A/07May10Camera1-Card1-0483.jpg,887.46,55.18,903.46,71.18,UNTE bird
