image_path,xmin,ymin,xmax,ymax,bird_px,box_px,box_measured,img_w,img_h,label,species_resolved,frame,legend_row,class_name,species,category,match_score,candidates,candidate_scores,x_orig,y_orig,shot_x,shot_y,in_bounds,assigned,exported,box_provisional,align_model,align_reproj_err,band,year,colony
high_resolution_photos/2010/Breton-Chandeleur Islands/Chandeleur North A/07May10Camera1-Card1-0483.jpg,2351.25,15.32,2367.25,31.32,12.0,16.0,True,3504,2336,UNTE bird,True,07May10Camera1-Card1-0483,0.0,UNTE bird,UNTE,bird,0.585,0|1,0.585|0.54,2359.25,23.32,596.0,43.0,True,True,True,True,similarity,0.589,medium,2010,Chandeleur North A
high_resolution_photos/2010/Breton-Chandeleur Islands/Chandeleur North A/07May10Camera1-Card1-0483.jpg,2361.25,19.32,2377.25,35.32,12.0,16.0,True,3504,2336,UNTE bird,True,07May10Camera1-Card1-0483,0.0,UNTE bird,UNTE,bird,0.157,0|1,0.157|0.155,2369.25,27.32,598.5,44.0,True,True,True,True,similarity,0.589,medium,2010,Chandeleur North A
high_resolution_photos/2010/Breton-Chandeleur Islands/Chandeleur North A/07May10Camera1-Card1-0483.jpg,2387.24,23.33,2403.24,39.33,12.0,16.0,True,3504,2336,UNTE bird,True,07May10Camera1-Card1-0483,0.0,UNTE bird,UNTE,bird,0.338,1|0,0.512|0.338,2395.24,31.33,605.0,45.0,True,True,True,True,similarity,0.589,medium,2010,Chandeleur North A
high_resolution_photos/2010/Breton-Chandeleur Islands/Chandeleur North A/07May10Camera1-Card1-0483.jpg,2345.91,53.98,2361.91,69.98,12.0,16.0,True,3504,2336,UNTE bird,True,07May10Camera1-Card1-0483,0.0,UNTE bird,UNTE,bird,0.568,0|1,0.568|0.535,2353.91,61.98,594.67,52.67,True,True,True,True,similarity,0.589,medium,2010,Chandeleur North A
high_resolution_photos/2010/Breton-Chandeleur Islands/Chandeleur North A/07May10Camera1-Card1-0483.jpg,2363.24,55.32,2379.24,71.32,12.0,16.0,True,3504,2336,UNTE bird,True,07May10Camera1-Card1-0483,0.0,UNTE bird,UNTE,bird,0.331,1|0,0.565|0.331,2371.24,63.32,599.0,53.0,True,True,True,True,similarity,0.589,medium,2010,Chandeleur North A
high_resolution_photos/2010/Breton-Chandeleur Islands/Chandeleur North A/07May10Camera1-Card1-0483.jpg,2367.24,91.31,2383.24,107.31,12.0,16.0,True,3504,2336,UNTE bird,True,07May10Camera1-Card1-0483,0.0,UNTE bird,UNTE,bird,0.778,1|0,0.86|0.778,2375.24,99.31,600.0,62.0,True,True,True,True,similarity,0.589,medium,2010,Chandeleur North A
high_resolution_photos/2010/Breton-Chandeleur Islands/Chandeleur North A/07May10Camera1-Card1-0483.jpg,643.5,35.16,659.5,51.16,12.0,16.0,True,3504,2336,UNTE bird,True,07May10Camera1-Card1-0483,0.0,UNTE bird,UNTE,bird,0.027,1|0,0.209|0.027,651.5,43.16,169.0,48.0,True,True,True,True,similarity,0.589,medium,2010,Chandeleur North A
high_resolution_photos/2010/Breton-Chandeleur Islands/Chandeleur North A/07May10Camera1-Card1-0483.jpg,643.5,57.16,659.5,73.16,12.0,16.0,True,3504,2336,UNTE bird,True,07May10Camera1-Card1-0483,0.0,UNTE bird,UNTE,bird,0.252,1|0,0.536|0.252,651.5,65.16,169.0,53.5,True,True,True,True,similarity,0.589,medium,2010,Chandeleur North A
high_resolution_photos/2010/Breton-Chandeleur Islands/Chandeleur North A/07May10Camera1-Card1-0483.jpg,701.89,64.42,717.89,80.42,12.0,16.0,True,3504,2336,UNTE bird,True,07May10Camera1-Card1-0483,0.0,UNTE bird,UNTE,bird,0.24,1|0,0.327|0.24,709.89,72.42,183.6,55.31,True,True,True,True,similarity,0.589,medium,2010,Chandeleur North A
high_resolution_photos/2010/Breton-Chandeleur Islands/Chandeleur North A/07May10Camera1-Card1-0483.jpg,723.49,51.17,739.49,67.17,12.0,16.0,True,3504,2336,UNTE bird,True,07May10Camera1-Card1-0483,0.0,UNTE bird,UNTE,bird,0.285,1|0,0.353|0.285,731.49,59.17,189.0,52.0,True,True,True,True,similarity,0.589,medium,2010,Chandeleur North A
high_resolution_photos/2010/Breton-Chandeleur Islands/Chandeleur North A/07May10Camera1-Card1-0483.jpg,739.48,79.17,755.48,95.17,12.0,16.0,True,3504,2336,UNTE bird,True,07May10Camera1-Card1-0483,0.0,UNTE bird,UNTE,bird,0.306,1|0,0.457|0.306,747.48,87.17,193.0,59.0,True,True,True,True,similarity,0.589,medium,2010,Chandeleur North A
high_resolution_photos/2010/Breton-Chandeleur Islands/Chandeleur North A/07May10Camera1-Card1-0483.jpg,815.47,35.18,831.47,51.18,12.0,16.0,True,3504,2336,UNTE bird,True,07May10Camera1-Card1-0483,0.0,UNTE bird,UNTE,bird,0.621,1|0,0.656|0.621,823.47,43.18,212.0,48.0,True,True,True,True,similarity,0.589,medium,2010,Chandeleur North A
high_resolution_photos/2010/Breton-Chandeleur Islands/Chandeleur North A/07May10Camera1-Card1-0483.jpg,811.47,39.18,827.47,55.18,12.0,16.0,True,3504,2336,UNTE bird,True,07May10Camera1-Card1-0483,0.0,UNTE bird,UNTE,bird,0.537,1|0,0.549|0.537,819.47,47.18,211.0,49.0,True,True,True,True,similarity,0.589,medium,2010,Chandeleur North A
