frame,band,survey_count,cached,detected,ratio,accepted,dialog_found,legend_rows,dots_assigned,dots_exported,dropped_out_of_bounds,bird_px,box_px,box_measured,excluded_reason,path
07May10Camera1-Card1-0483,medium,209.0,True,256,1.2248803827751196,True,True,3,234,234,0,12.0,16.0,True,,subtract
17May10Camera2-Card1-5745,dense,411.0,True,386,0.9391727493917276,True,True,14,367,367,0,10.0,16.0,True,,subtract
18June11Camera2-Card7-586,medium,165.0,True,188,1.1393939393939394,True,True,4,81,81,0,20.0,26.0,True,,subtract
18May11Camera2-Card5-0081,medium,234.0,True,160,0.6837606837606838,True,True,10,148,148,0,27.74,36.0,True,,subtract
18May11Camera2-Card5-0027,dense,338.0,True,463,1.3698224852071006,True,True,8,338,338,0,18.03,23.0,True,,subtract
17June11Camera1-Card5-0537,dense,332.0,True,363,1.0933734939759037,True,True,8,181,181,0,27.85,36.0,True,,subtract
28May12Camera2-Card2-0242,medium,147.0,True,139,0.9455782312925172,True,True,5,51,51,0,11.0,16.0,True,,subtract
27May12Camera1-Card2-0449,medium,216.0,True,285,1.3194444444444444,True,True,9,87,87,4,28.32,37.0,True,,subtract
19June12Camera2-Card7-0216,dense,1050.0,True,1174,1.118095238095238,True,True,8,1033,1033,0,13.13,17.0,True,,subtract
19June12Camera1-Card4-0212,dense,389.0,True,583,1.4987146529562982,True,True,14,501,501,0,35.0,46.0,True,,subtract
27May12Camera1-Card2-0406,dense,472.0,True,482,1.021186440677966,True,True,8,371,371,0,36.39,47.0,True,,subtract
23May13Camera2-Card1-0730,dense,493.0,True,758,1.537525354969574,True,True,10,430,428,2,23.08,30.0,True,,subtract
23May13Camera1-Card1-0149,dense,370.0,True,522,1.4108108108108108,True,True,19,386,386,0,23.85,31.0,True,,subtract
23May13Camera2-Card1-0886,dense,626.0,True,448,0.7156549520766773,True,True,15,325,325,0,19.04,25.0,True,,subtract
18May15Camera2-Card5-00825,sparse,10.0,True,10,1.0,True,True,11,7,7,0,,31.0,False,,subtract
18May15Camera2-Card5-00495,sparse,43.0,True,64,1.4883720930232558,True,True,3,43,43,0,20.29,26.0,True,,subtract
18May15Camera1-Card6-426,medium,192.0,True,234,1.21875,True,True,8,196,196,0,41.4,54.0,True,,subtract
18May15Camera2-Card5-00762,medium,64.0,True,76,1.1875,True,True,4,61,61,0,18.09,24.0,True,,subtract
18May15Camera1-Card6-197,medium,105.0,True,152,1.4476190476190476,True,True,11,134,134,0,37.19,48.0,True,,subtract
17May15Camera2-Card3-00019,dense,638.0,True,744,1.1661442006269591,True,True,6,640,640,0,28.99,38.0,True,,subtract
19May18Camera1-Card1-2387,sparse,18.0,True,21,1.1666666666666667,True,True,7,20,20,0,20.0,26.0,True,,subtract
19May18Camera2-Card1-00620,medium,186.0,True,183,0.9838709677419356,True,True,3,139,139,0,21.82,28.0,True,,subtract
14June21Camera1-Card1-220,sparse,9.0,True,12,1.3333333333333333,True,True,5,8,8,0,36.0,47.0,True,,subtract
18June21Camera1-Card2-06389,medium,119.0,True,74,0.6218487394957983,True,True,4,73,73,0,27.0,35.0,True,,subtract
18June21Camera2-Card3-182,dense,477.0,True,595,1.2473794549266248,True,True,21,569,568,1,24.0,31.0,True,,subtract
