frame,band,survey_count,cached,detected,ratio,accepted,dialog_found,legend_rows,dots_assigned,dots_exported,dropped_out_of_bounds,bird_px,box_px,box_measured,excluded_reason,path
10June10Camera1-Card1-0076,sparse,9.0,True,128,14.222222222222221,False,True,0,0,0,0,,31.0,False,"frame selection: over-detects 14.22x, precision capped at 0.07",subtract
08May10Camera1-Card1-0115,sparse,36.0,True,262,7.277777777777778,False,True,0,0,0,0,,31.0,False,"frame selection: over-detects 7.28x, precision capped at 0.14",subtract
13June10Camera1-Card2-0240,sparse,10.0,True,382,38.2,False,True,0,0,0,0,,31.0,False,"frame selection: over-detects 38.20x, precision capped at 0.03",subtract
11June10Camera1-Card1-0154,medium,72.0,True,529,7.347222222222222,False,True,0,0,0,0,,31.0,False,"frame selection: over-detects 7.35x, precision capped at 0.14",subtract
25June10Camera2-Card1-0401,medium,54.0,True,344,6.37037037037037,False,True,0,0,0,0,,31.0,False,"frame selection: over-detects 6.37x, precision capped at 0.16",subtract
07May10Camera1-Card1-0483,medium,209.0,True,256,1.2248803827751196,True,True,3,234,234,0,12.0,16.0,True,,subtract
13June10Camera2-Card1-0296,dense,412.0,True,245,0.5946601941747572,False,True,0,0,0,0,,31.0,False,"frame selection: under-detects 0.59x, recall capped at 0.59",subtract
14June10Camera1-Card1-0507,dense,673.0,True,571,0.8484398216939079,True,True,0,0,0,0,,31.0,False,dialog box wrong (excluded by name),subtract
17May10Camera2-Card1-5745,dense,411.0,True,386,0.9391727493917275,True,True,14,367,367,0,10.0,16.0,True,,subtract
14June11Camera1-Card3-0226,sparse,32.0,False,0,,False,False,0,0,0,0,,31.0,False,not cached locally,
18May11Camera2-Card5-0293,sparse,36.0,True,62,1.7222222222222223,False,True,0,0,0,0,,31.0,False,"frame selection: over-detects 1.72x, precision capped at 0.58",subtract
14June11Camera2-Card2-0528,sparse,7.0,False,0,,False,False,0,0,0,0,,31.0,False,not cached locally,
20May11Camera1-Card11-0680,medium,75.0,True,347,4.626666666666667,False,True,0,0,0,0,,31.0,False,"frame selection: over-detects 4.63x, precision capped at 0.22",subtract
18June11Camera2-Card7-586,medium,165.0,True,188,1.1393939393939394,True,True,4,81,81,0,20.0,26.0,True,,subtract
18May11Camera2-Card5-0081,medium,234.0,True,160,0.6837606837606838,True,True,10,148,148,0,27.74,36.0,True,,subtract
18May11Camera2-Card5-0027,dense,338.0,True,463,1.3698224852071006,True,True,8,338,338,0,18.03,23.0,True,,subtract
17June11Camera1-Card5-0537,dense,332.0,True,363,1.0933734939759037,True,True,8,181,181,0,27.85,36.0,True,,subtract
17May11Camera1-Card3-0147,dense,452.0,True,1656,3.663716814159292,False,True,0,0,0,0,,31.0,False,"frame selection: over-detects 3.66x, precision capped at 0.27",colour
28May12Camera2-Card1-0729,sparse,36.0,False,0,,False,False,0,0,0,0,,31.0,False,not cached locally,
28May12Camera2-Card1-810,sparse,28.0,True,173,6.178571428571429,False,True,0,0,0,0,,31.0,False,"frame selection: over-detects 6.18x, precision capped at 0.16",subtract
30May12Camera2-Card1-0481,sparse,33.0,True,275,8.333333333333334,False,True,0,0,0,0,,31.0,False,"frame selection: over-detects 8.33x, precision capped at 0.12",subtract
27May12Camera1-Card1-225,medium,120.0,True,1148,9.566666666666666,False,True,0,0,0,0,,31.0,False,"frame selection: over-detects 9.57x, precision capped at 0.10",colour
28May12Camera2-Card2-0242,medium,147.0,True,139,0.9455782312925171,True,True,5,51,51,0,11.0,16.0,True,,subtract
27May12Camera1-Card2-0449,medium,216.0,True,285,1.3194444444444444,True,True,9,87,87,4,28.32,37.0,True,,subtract
19June12Camera2-Card7-0216,dense,1050.0,True,1174,1.118095238095238,True,True,8,1033,1033,0,13.13,17.0,True,,subtract
19June12Camera1-Card4-0212,dense,389.0,True,583,1.4987146529562982,True,True,14,501,501,0,35.0,46.0,True,,subtract
27May12Camera1-Card2-0406,dense,472.0,True,482,1.021186440677966,True,True,8,371,371,0,36.39,47.0,True,,subtract
23May13Camera2-Card1-0596,sparse,50.0,True,477,9.54,False,True,0,0,0,0,,31.0,False,"frame selection: over-detects 9.54x, precision capped at 0.10",subtract
24May13Camera1-Card3-0215,sparse,30.0,True,142,4.733333333333333,False,False,0,0,0,0,,31.0,False,"frame selection: over-detects 4.73x, precision capped at 0.21",subtract
24May13Camera1-Card3-0188,sparse,8.0,True,81,10.125,False,True,0,0,0,0,,31.0,False,"frame selection: over-detects 10.12x, precision capped at 0.10",subtract
23May13Camera1-Card1-0465,medium,54.0,True,85,1.5740740740740742,True,True,0,0,0,0,,31.0,False,dialog box wrong (excluded by name),subtract
18June13Camera1-Card2-0310,medium,70.0,True,638,9.114285714285714,False,True,0,0,0,0,,31.0,False,"frame selection: over-detects 9.11x, precision capped at 0.11",subtract
18June13Camera2-Card2-1216,medium,88.0,True,52,0.5909090909090909,False,True,0,0,0,0,,31.0,False,"frame selection: under-detects 0.59x, recall capped at 0.59",subtract
23May13Camera2-Card1-0730,dense,493.0,True,758,1.537525354969574,True,True,10,430,428,2,23.08,30.0,True,,subtract
23May13Camera1-Card1-0149,dense,370.0,True,522,1.4108108108108108,True,True,19,386,386,0,23.85,31.0,True,,subtract
23May13Camera2-Card1-0886,dense,626.0,True,448,0.7156549520766773,True,True,15,325,325,0,19.04,25.0,True,,subtract
18May15Camera2-Card5-00825,sparse,10.0,True,10,1.0,True,True,11,7,7,0,,31.0,False,,subtract
18May15Camera1-Card6-00948,sparse,11.0,True,40,3.6363636363636362,False,False,0,0,0,0,,31.0,False,"frame selection: over-detects 3.64x, precision capped at 0.28",subtract
18May15Camera2-Card5-00495,sparse,43.0,True,64,1.4883720930232558,True,True,3,43,43,0,20.29,26.0,True,,subtract
18May15Camera1-Card6-426,medium,192.0,True,234,1.21875,True,True,8,196,196,0,41.4,54.0,True,,subtract
18May15Camera2-Card5-00762,medium,64.0,True,76,1.1875,True,True,4,61,61,0,18.09,24.0,True,,subtract
18May15Camera1-Card6-197,medium,105.0,True,152,1.4476190476190476,True,True,11,134,134,0,37.19,48.0,True,,subtract
16May15Camera2-Card1-00097,dense,450.0,True,16,0.035555555555555556,False,False,0,0,0,0,,31.0,False,"frame selection: under-detects 0.04x, recall capped at 0.04",subtract
17May15Camera2-Card3-00019,dense,638.0,True,744,1.1661442006269593,True,True,6,640,640,0,28.99,38.0,True,,subtract
17May15Camera1-Card3-01497,dense,335.0,True,404,1.2059701492537314,True,False,0,0,0,0,,31.0,False,no dialog found,subtract
19May18Camera1-Card1-00622,sparse,19.0,True,20,1.0526315789473684,True,False,0,0,0,0,,31.0,False,no dialog found,subtract
19May18Camera1-Card1-0759,sparse,10.0,True,235,23.5,False,True,0,0,0,0,,31.0,False,"frame selection: over-detects 23.50x, precision capped at 0.04",subtract
19May18Camera1-Card1-2387,sparse,18.0,True,21,1.1666666666666667,True,True,7,20,20,0,20.0,26.0,True,,subtract
19May18Camera2-Card1-00620,medium,186.0,True,183,0.9838709677419355,True,True,3,139,139,0,21.82,28.0,True,,subtract
24June18Camera1-Card1-10264,medium,156.0,True,744,4.769230769230769,False,False,0,0,0,0,,31.0,False,"frame selection: over-detects 4.77x, precision capped at 0.21",subtract
25June18Camera2-Card1-12410,medium,295.0,True,785,2.6610169491525424,False,True,0,0,0,0,,31.0,False,"frame selection: over-detects 2.66x, precision capped at 0.38",subtract
