image_path,xmin,ymin,xmax,ymax,label
high_resolution_photos/2010/Florida Keys/Rachel Key/09June10Camera1-Card2-0552.jpg,3369.24,455.28,3424.24,510.28,DCCO wbn
high_resolution_photos/2010/Florida Keys/Rachel Key/09June10Camera1-Card2-0552.jpg,3099.24,479.28,3154.24,534.28,DCCO wbn
high_resolution_photos/2010/Florida Keys/Rachel Key/09June10Camera1-Card2-0552.jpg,3097.24,503.28,3152.24,558.28,DCCO wbn
high_resolution_photos/2010/Florida Keys/Rachel Key/09June10Camera1-Card2-0552.jpg,3503.23,1489.25,3558.23,1544.25,DCCO wbn
high_resolution_photos/2010/Florida Keys/Rachel Key/09June10Camera1-Card2-0552.jpg,3479.23,1491.25,3534.23,1546.25,DCCO adult
high_resolution_photos/2010/Florida Keys/Rachel Key/09June10Camera1-Card2-0552.jpg,3479.23,1507.25,3534.23,1562.25,DCCO wbn
high_resolution_photos/2010/Florida Keys/Rachel Key/09June10Camera1-Card2-0552.jpg,2763.25,2479.23,2818.25,2534.23,UNWA wbn
high_resolution_photos/2010/Florida Keys/Rachel Key/09June10Camera1-Card2-0552.jpg,2759.25,2483.23,2814.25,2538.23,UNWA wbn
high_resolution_photos/2010/Florida Keys/Rachel Key/09June10Camera1-Card2-0552.jpg,3783.22,2511.23,3838.22,2566.23,UNWA wbn
high_resolution_photos/2010/Florida Keys/Rachel Key/09June10Camera1-Card2-0552.jpg,3763.22,2519.23,3818.22,2574.23,UNWA wbn
high_resolution_photos/2010/Florida Keys/Rachel Key/09June10Camera1-Card2-0552.jpg,3801.22,2519.23,3856.22,2574.23,UNWA wbn
high_resolution_photos/2010/Florida Keys/Rachel Key/09June10Camera1-Card2-0552.jpg,2927.24,2763.22,2982.24,2818.22,UNWA wbn
high_resolution_photos/2010/Florida Keys/Rachel Key/09June10Camera1-Card2-0552.jpg,2579.25,2919.22,2634.25,2974.22,DCCO adult
high_resolution_photos/2010/Florida Keys/Rachel Key/09June10Camera1-Card2-0552.jpg,2583.25,2927.22,2638.25,2982.22,DCCO wbn
high_resolution_photos/2010/Biloxi North/Martin Island/27June10Camera2-Card1-0241.jpg,1107.68,0.0,1125.68,13.92,BRPE bird
high_resolution_photos/2010/Biloxi North/Martin Island/27June10Camera2-Card1-0241.jpg,1171.69,0.0,1189.69,13.91,BRPE bird
high_resolution_photos/2010/Biloxi North/Martin Island/27June10Camera2-Card1-0241.jpg,1439.7,0.0,1457.7,13.88,BRPE bird
high_resolution_photos/2010/Biloxi North/Martin Island/27June10Camera2-Card1-0241.jpg,1535.71,0.0,1553.71,13.87,BRPE bird
high_resolution_photos/2010/Biloxi North/Martin Island/27June10Camera2-Card1-0241.jpg,1551.05,91.2,1569.05,109.2,LAGU bird
high_resolution_photos/2010/Biloxi North/Martin Island/27June10Camera2-Card1-0241.jpg,1569.72,89.87,1587.72,107.87,LAGU chick
high_resolution_photos/2010/Biloxi North/Martin Island/27June10Camera2-Card1-0241.jpg,2001.75,117.82,2019.75,135.82,BRPE wbn
high_resolution_photos/2010/Biloxi North/Martin Island/27June10Camera2-Card1-0241.jpg,2001.75,133.82,2019.75,151.82,BRPE wbn
high_resolution_photos/2010/Biloxi North/Martin Island/27June10Camera2-Card1-0241.jpg,2005.75,197.82,2023.75,215.82,BRPE bird
high_resolution_photos/2010/Biloxi North/Martin Island/27June10Camera2-Card1-0241.jpg,2005.76,223.83,2023.76,241.83,BRPE bird
high_resolution_photos/2010/Biloxi North/Martin Island/27June10Camera2-Card1-0241.jpg,2179.78,375.81,2197.78,393.81,BRPE wbn
