frame,band,survey_count,cached,detected,ratio,accepted,dialog_found,legend_rows,dots_assigned,dots_exported,dropped_out_of_bounds,bird_px,box_px,box_measured,excluded_reason,path
07May10Camera1-Card1-0306,dense,342.0,True,217,0.6345029239766082,True,True,5,184,184,0,28.29,37.0,True,,subtract
07May10Camera1-Card1-0334,dense,807.0,True,1039,1.2874845105328376,True,True,8,334,334,0,14.07,18.0,True,,subtract
07May10Camera1-Card1-0483,medium,209.0,True,256,1.2248803827751196,True,True,3,209,209,0,12.0,16.0,True,,subtract
07May10Camera1-Card1-0486,dense,678.0,True,506,0.7463126843657817,True,True,3,506,506,0,14.07,18.0,True,,subtract
08June10Camera1-Card1-0289,medium,181.0,True,228,1.2596685082872927,True,True,9,223,223,0,45.1,59.0,True,,subtract
08May10Camera1-Card1-0127,medium,96.0,True,98,1.0208333333333333,True,True,15,62,62,0,18.48,24.0,True,,subtract
08May10Camera1-Card1-0178,medium,97.0,True,96,0.9896907216494846,True,True,8,90,90,0,34.43,45.0,True,,subtract
08May10Camera1-Card1-0519,sparse,45.0,True,58,1.288888888888889,True,True,9,37,37,0,23.71,31.0,True,,subtract
08May10Camera1-Card1-0532,dense,302.0,True,228,0.7549668874172185,True,True,14,203,203,0,20.47,27.0,True,,subtract
08May10Camera1-Card1-0559,medium,241.0,True,242,1.004149377593361,True,True,8,241,241,0,33.71,44.0,True,,subtract
08May10Camera1-Card1-0569,dense,572.0,True,476,0.8321678321678322,True,True,8,476,476,0,13.0,17.0,True,,subtract
08May10Camera1-Card1-0775,dense,357.0,True,401,1.123249299719888,True,True,20,371,371,0,13.03,17.0,True,,subtract
08May10Camera1-Card2-0075,medium,170.0,True,250,1.4705882352941178,True,True,12,112,111,1,16.75,22.0,True,,subtract
08May10Camera1-Card2-0081,dense,322.0,True,354,1.0993788819875776,True,True,5,260,257,3,18.0,23.0,True,,subtract
09June10Camera1-Card1-0422,sparse,14.0,True,23,1.6428571428571428,True,True,14,19,19,0,43.0,56.0,True,,subtract
09June10Camera1-Card2-0552,sparse,14.0,True,16,1.1428571428571428,True,True,14,14,14,0,42.49,55.0,True,,subtract
10June10Camera1-Card2-0352,medium,208.0,True,276,1.3269230769230769,True,True,26,68,68,0,41.64,54.0,True,,subtract
10June10Camera2-Card1-0261,medium,136.0,True,131,0.9632352941176472,True,True,15,1,1,0,25.49,33.0,True,,subtract
10June10Camera2-Card1-0268,dense,513.0,True,363,0.7076023391812866,True,True,16,362,362,0,16.68,22.0,True,,subtract
11June10Camera1-Card3-0087,sparse,48.0,True,49,1.0208333333333333,True,True,17,43,43,0,49.63,65.0,True,,subtract
12June10Camera1-Card1-0471,sparse,33.0,True,23,0.696969696969697,True,True,6,21,21,0,59.0,77.0,True,,subtract
13June10Camera1-Card1-0308,medium,99.0,True,142,1.4343434343434345,True,True,9,121,121,0,41.62,54.0,True,,subtract
14June10Camera1-Card1-0309,dense,379.0,True,484,1.2770448548812663,True,True,17,441,441,0,44.21,57.0,True,,subtract
14June10Camera1-Card1-0538,dense,501.0,True,404,0.8063872255489022,True,True,13,67,67,0,35.18,46.0,True,,subtract
14June11Camera1-Card2-0002,dense,386.0,True,307,0.7953367875647669,True,True,6,137,137,0,27.71,36.0,True,,subtract
14June11Camera1-Card3-0388,sparse,26.0,True,37,1.4230769230769231,True,True,3,27,27,0,20.0,26.0,True,,subtract
14June11Camera1-Card3-0587,medium,105.0,True,150,1.4285714285714286,True,True,21,106,106,0,22.04,29.0,True,,subtract
14June11Camera2-Card3-0379,medium,230.0,True,159,0.691304347826087,True,True,5,103,103,0,18.0,23.0,True,,subtract
14June11Camera2-Card3-0487,dense,310.0,True,212,0.6838709677419355,True,True,7,197,196,1,30.17,39.0,True,,subtract
14June21Camera1-Card1-220,sparse,9.0,True,12,1.3333333333333333,True,True,5,8,8,0,36.0,47.0,True,,subtract
14June21Camera1-Card1-975,dense,959.0,True,1464,1.5265901981230448,True,True,10,1130,1130,0,35.76,46.0,True,,subtract
14June21Camera2-Card1-858,sparse,39.0,True,56,1.435897435897436,True,True,12,35,35,0,18.0,23.0,True,,subtract
15June11Camera1-Card3-0807,dense,1530.0,True,1088,0.7111111111111111,True,True,8,1021,1021,0,31.26,41.0,True,,subtract
15June11Camera1-Card4-0031,medium,153.0,True,224,1.4640522875816993,True,True,5,97,97,0,34.63,45.0,True,,subtract
15June11Camera1-Card4-0033,sparse,32.0,True,38,1.1875,True,True,4,25,25,0,42.0,55.0,True,,subtract
15June11Camera1-Card4-0255,dense,377.0,True,258,0.6843501326259946,True,True,9,150,150,0,40.96,53.0,True,,subtract
15June11Camera2-Card3-0818,medium,65.0,True,62,0.953846153846154,True,True,4,58,58,0,33.07,43.0,True,,subtract
15June21Camera1-Card1-03480,dense,470.0,True,512,1.0893617021276596,True,True,9,247,245,69,9.5,16.0,True,,subtract
15June21Camera2-Card1-1905,medium,121.0,True,192,1.5867768595041325,True,True,10,43,43,0,8.31,16.0,True,,subtract
16June21Camera1-Card1-07269,medium,130.0,True,167,1.2846153846153847,True,True,7,155,155,0,22.17,29.0,True,,subtract
16June21Camera1-Card1-5994,medium,102.0,True,104,1.0196078431372548,True,True,12,101,101,0,57.13,74.0,True,,subtract
16June21Camera1-Card1-7877,dense,442.0,True,653,1.4773755656108598,True,True,10,635,635,0,44.09,57.0,True,,subtract
16June21Camera1-Card1-9217,dense,1729.0,True,2113,1.2220936957779065,True,True,6,1734,1734,0,37.33,49.0,True,,subtract
