frame,labelled,pre_hit,ft_hit,gain
21June15Camera1-Card3-01343,2211,754,1812,1058
18June13Camera1-Card2-0296,1403,282,514,232
28May12Camera2-Card1-0333,860,131,254,123
25May13Camera2-Card4-1442,677,305,422,117
23May13Camera2-Card1-0730,605,88,184,96
21June15Camera2-Card3-00571,629,34,117,83
25May21Camera1-Card3-9587,170,23,72,49
23June18Camera1-Card1-07470,205,56,104,48
20June12Camera1-Card7-0307,477,73,117,44
18May11Camera1-Card4-0396,405,168,212,44
29May12Camera1-Card2-0022,423,168,200,32
21May18Camera2-Card1-8403,544,179,211,32
21June15Camera1-Card3-00465,406,107,137,30
23May13Camera2-Card1-0504,473,156,181,25
21May18Camera1-Card1-4754,490,207,229,22
18May11Camera1-Card6-0369,147,57,78,21
28May12Camera1-Card1-0082,349,157,177,20
25June10Camera2-Card1-0188,319,91,111,20
17May10Camera1-Card1-0395,530,161,181,20
17May10Camera1-Card1-0868,189,120,138,18
20June21Camera2-Card3-5018,664,322,339,17
23June18Camera1-Card1-07802,206,48,65,17
19June13Camera2-Card4-0781,145,26,38,12
19May18Camera1-Card1-00086,170,135,147,12
21May18Camera2-Card1-8100,236,125,136,11
18June13Camera2-Card2-1299,187,85,96,11
15June11Camera2-Card3-0818,86,16,24,8
17May21Camera1-Card1-469,289,122,130,8
17May11Camera1-Card2-0267,1080,264,271,7
07May10Camera1-Card1-0483,276,36,42,6
18May11Camera1-Card4-0411,47,15,21,6
28May12Camera2-Card2-0242,65,1,6,5
16May15Camera2-Card1-1357,1165,216,221,5
11June10Camera1-Card3-0087,65,24,29,5
25May13Camera2-Card4-1464,32,12,15,3
23June10Camera1-Card2-0538,123,24,26,2
23June18Camera1-Card1-08679,31,16,18,2
19June12Camera1-Card4-0974,415,29,30,1
23June18Camera1-Card1-07850,13,3,4,1
08May10Camera1-Card1-0127,89,31,32,1
24June18Camera1-Card1-09999,35,26,26,0
19May11Camera2-Card7-0702,77,17,17,0
17May15Camera1-Card5-423,16,7,7,0
21June15Camera1-Card3-01044,64,1,1,0
27June10Camera1-Card1-0636,7,0,0,0
16May15Camera2-Card1-1337,22,5,4,-1
27May12Camera2-Card2-0030,19,4,3,-1
24May13Camera1-Card2-0033,6,1,0,-1
17May15Camera2-Card3-01229,45,6,5,-1
15June21Camera2-Card1-1905,61,2,1,-1
21June15Camera2-Card2-01240,97,12,9,-3
14June11Camera2-Card3-0379,141,40,37,-3
27June10Camera2-Card1-0241,57,10,5,-5
10June10Camera2-Card1-0268,478,128,122,-6
17May11Camera1-Card2-0384,418,41,27,-14
17May11Camera2-Card2-71,450,16,0,-16
19May18Camera1-Card1-00956,924,134,112,-22
24May13Camera1-Card2-1565,798,37,9,-28
23May13Camera2-Card1-0649,335,124,94,-30
18June21Camera2-Card2-06174,948,425,332,-93
