metric,before,after,change
mAP,0.00789542868733406,0.021750790998339653,0.0139
mAP@50,0.036455798894166946,0.08737115561962128,0.0509
precision @ 0.05,0.11497233062982559,0.18636402487754822,0.0714
recall @ 0.05,0.35572317242622375,0.41366782784461975,0.0579
precision @ 0.1,0.19412364065647125,0.2703683078289032,0.0762
recall @ 0.1,0.3308773338794708,0.39624279737472534,0.0654
precision @ 0.2,0.3041303753852844,0.3639688491821289,0.0598
recall @ 0.2,0.27366361021995544,0.30660033226013184,0.0329
precision @ 0.3,0.35571056604385376,0.4161960184574127,0.0605
recall @ 0.3,0.20708328485488892,0.12175484001636505,-0.0853
