tile,frame,labelled,pre_found,pre_hit,ft_found,ft_hit,gain
07May10Camera1-Card1-0483_11.png,07May10Camera1-Card1-0483,34,31,5,33,4,-1
07May10Camera1-Card1-0483_12.png,07May10Camera1-Card1-0483,4,13,0,8,1,1
07May10Camera1-Card1-0483_14.png,07May10Camera1-Card1-0483,18,2,0,2,0,0
07May10Camera1-Card1-0483_17.png,07May10Camera1-Card1-0483,23,23,3,27,5,2
07May10Camera1-Card1-0483_18.png,07May10Camera1-Card1-0483,14,23,3,25,3,0
07May10Camera1-Card1-0483_21.png,07May10Camera1-Card1-0483,4,2,0,0,0,0
07May10Camera1-Card1-0483_23.png,07May10Camera1-Card1-0483,8,9,1,8,2,1
07May10Camera1-Card1-0483_24.png,07May10Camera1-Card1-0483,25,24,2,23,1,-1
07May10Camera1-Card1-0483_29.png,07May10Camera1-Card1-0483,7,4,1,6,2,1
07May10Camera1-Card1-0483_30.png,07May10Camera1-Card1-0483,11,16,2,13,2,0
07May10Camera1-Card1-0483_33.png,07May10Camera1-Card1-0483,9,11,2,11,3,1
07May10Camera1-Card1-0483_34.png,07May10Camera1-Card1-0483,4,7,0,4,1,1
07May10Camera1-Card1-0483_35.png,07May10Camera1-Card1-0483,10,16,1,15,1,0
07May10Camera1-Card1-0483_36.png,07May10Camera1-Card1-0483,24,20,4,17,3,-1
07May10Camera1-Card1-0483_37.png,07May10Camera1-Card1-0483,5,7,0,5,1,1
07May10Camera1-Card1-0483_4.png,07May10Camera1-Card1-0483,8,9,0,6,0,0
07May10Camera1-Card1-0483_40.png,07May10Camera1-Card1-0483,14,11,3,10,3,0
07May10Camera1-Card1-0483_42.png,07May10Camera1-Card1-0483,21,22,4,22,6,2
07May10Camera1-Card1-0483_46.png,07May10Camera1-Card1-0483,6,2,1,2,1,0
07May10Camera1-Card1-0483_47.png,07May10Camera1-Card1-0483,1,0,0,0,0,0
07May10Camera1-Card1-0483_49.png,07May10Camera1-Card1-0483,1,3,0,3,0,0
07May10Camera1-Card1-0483_5.png,07May10Camera1-Card1-0483,18,21,4,14,3,-1
07May10Camera1-Card1-0483_53.png,07May10Camera1-Card1-0483,4,2,0,1,0,0
07May10Camera1-Card1-0483_7.png,07May10Camera1-Card1-0483,3,2,0,0,0,0
08May10Camera1-Card1-0127_0.png,08May10Camera1-Card1-0127,1,4,0,3,0,0
08May10Camera1-Card1-0127_1.png,08May10Camera1-Card1-0127,1,5,0,4,1,1
08May10Camera1-Card1-0127_10.png,08May10Camera1-Card1-0127,1,6,0,2,1,1
08May10Camera1-Card1-0127_14.png,08May10Camera1-Card1-0127,1,1,1,1,1,0
08May10Camera1-Card1-0127_15.png,08May10Camera1-Card1-0127,5,8,5,6,3,-2
08May10Camera1-Card1-0127_19.png,08May10Camera1-Card1-0127,1,2,0,2,0,0
08May10Camera1-Card1-0127_2.png,08May10Camera1-Card1-0127,1,5,0,8,1,1
08May10Camera1-Card1-0127_20.png,08May10Camera1-Card1-0127,4,7,0,4,0,0
08May10Camera1-Card1-0127_21.png,08May10Camera1-Card1-0127,6,4,3,5,2,-1
08May10Camera1-Card1-0127_22.png,08May10Camera1-Card1-0127,6,11,5,8,2,-3
